date,hour,temp,humidity,wind_speed,weather,dayofweek
20170212,16,13,20,7.2,1,7
20170212,17,11,24,7.2,1,7
20170212,18,9,32,14.4,1,7
20170212,19,8,34,10.8,1,7
20170212,20,6,39,10.8,1,7
20170212,21,6,36,10.8,1,7
20170212,22,5,39,7.2,1,7
20170212,23,5,45,10.8,1,7
20170213,8,7,66,3.6,1,1
20170213,9,9,50,10.8,1,1
20170213,10,11,38,10.8,1,1
20170213,11,13,26,10.8,1,1
20170213,12,14,29,7.2,1,1
20170213,13,15,27,10.8,1,1
20170213,14,16,25,7.2,1,1
20170213,15,15,25,7.2,1,1
20170213,16,15,29,7.2,1,1
20170213,17,14,33,10.8,1,1
20170213,18,11,41,14.4,1,1
20170213,19,9,46,7.2,1,1
20170213,20,9,43,7.2,1,1
20170213,21,8,46,7.2,1,1
20170213,22,8,43,7.2,1,1
20170213,23,7,46,7.2,1,1
20170214,8,9,71,1.0,1,2
20170214,9,12,54,3.6,1,2
20170214,10,13,38,3.6,1,2
20170214,11,14,25,10.8,1,2
20170214,12,15,19,14.4,1,2
20170214,13,16,19,14.4,1,2
20170214,14,16,19,10.8,1,2
20170214,15,16,16,14.4,1,2
20170214,16,15,20,14.4,1,2
20170214,17,14,23,18.0,1,2
20170214,18,12,30,18.0,1,2
20170214,19,11,35,14.4,1,2
20170214,20,9,40,14.4,1,2
20170214,21,9,40,10.8,1,2
20170214,22,8,43,10.8,1,2
20170214,23,8,43,7.2,1,2
20170215,8,9,62,14.4,1,3
20170215,9,11,58,21.6,1,3
20170215,10,12,51,25.2,1,3
20170215,11,14,44,25.2,1,3
20170215,12,15,39,25.2,1,3
20170215,13,15,42,21.6,1,3
20170215,14,16,42,21.6,1,3
20170215,15,16,39,21.6,1,3
20170215,16,15,42,21.6,1,3
20170215,17,14,48,18.0,1,3
20170215,18,13,51,14.4,1,3
20170215,19,12,58,14.4,1,3
20170215,20,11,67,14.4,1,3
20170215,21,11,67,21.6,1,3
20170215,22,10,71,18.0,1,3
20170215,23,10,71,18.0,1,3
